"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"ABP1","Between_Groups",1,39.3524744414538,39.3524744414538,24.0441060189229,0.0080239139627691
"ABP1","Within_Groups",4,6.54671451048886,1.63667862762222,NA,NA
"ABP140","Between_Groups",1,59.7072516444331,59.7072516444331,13.0148560142752,0.022604562014144
"ABP140","Within_Groups",4,18.3504916470667,4.58762291176667,NA,NA
"ABZ1","Between_Groups",1,0.744027409480282,0.744027409480282,1.71932479896495,0.259983953073835
"ABZ1","Within_Groups",4,1.73097581080246,0.432743952700615,NA,NA
"ABZ2","Between_Groups",1,225.019323675547,225.019323675547,30.7796607567773,0.00516370540019145
"ABZ2","Within_Groups",4,29.2425995794643,7.31064989486606,NA,NA
"ACA1","Between_Groups",1,56.9087545251239,56.9087545251239,1.81535969952557,0.249128808132966
"ACA1","Within_Groups",4,125.393891998366,31.3484729995915,NA,NA
"ACB1","Between_Groups",1,38103.9585215444,38103.9585215444,6.44909133338195,0.0640144823164467
"ACB1","Within_Groups",4,23633.6913538871,5908.42283847178,NA,NA
"ACC1","Between_Groups",1,3729.84016654828,3729.84016654828,289.504958767561,6.99687317241264e-05
"ACC1","Within_Groups",4,51.5340418682488,12.8835104670622,NA,NA
"ACE2","Between_Groups",1,157.137069708278,157.137069708278,604.297305498375,1.62507678667891e-05
"ACE2","Within_Groups",4,1.04013086458285,0.260032716145713,NA,NA
"ACF2","Between_Groups",1,4.95372500510876,4.95372500510876,3.79073651496014,0.123384011282317
"ACF2","Within_Groups",4,5.22719000443199,1.306797501108,NA,NA
"ACF4","Between_Groups",1,66.1682157770765,66.1682157770765,26.9344732100057,0.00656175074680016
"ACF4","Within_Groups",4,9.82654685854351,2.45663671463588,NA,NA
"ACH1","Between_Groups",1,18666.6354920363,18666.6354920363,632.326243132249,1.48492273769286e-05
"ACH1","Within_Groups",4,118.082307636454,29.5205769091135,NA,NA
"ACK1","Between_Groups",1,0.384721169673812,0.384721169673812,0.468378486918774,0.531328046173007
"ACK1","Within_Groups",4,3.28555798712873,0.821389496782182,NA,NA
"ACM1","Between_Groups",1,0.0504180710065005,0.0504180710065005,0.0202388052325875,0.893750137331535
